Jahr;Herkunftsland/Zielland;Baden-Württemberg;Bayern;Berlin;Branden-burg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Nieder-sachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen;Saldo Ausland
2016;Baden-Württemberg;0;2107;2474;240;-48;534;230;72;-983;-463;480;-602;404;-146;318;-262;-80496
2016;Bayern;-2107;0;2844;526;73;627;-564;106;-915;1051;-271;-220;912;-86;287;-539;-97807
2016;Berlin;-2474;-2844;0;11400;-387;-995;-1974;-358;-1747;-4313;-711;-288;-1375;-770;-278;-777;-46257
2016;Brandenburg;-240;-526;-11400;0;113;24;-374;456;195;1548;76;-16;460;-132;60;-145;-10995
2016;Bremen;48;-73;387;-113;0;270;-94;-348;285;-464;-112;-36;-145;-155;-209;-165;-7663
2016;Hamburg;-534;-627;995;-24;-270;0;-622;-297;456;-1846;-228;-105;-323;-284;4582;-225;-20851
2016;Hessen;-230;564;1974;374;94;622;0;28;410;112;715;-396;469;21;597;-372;-47203
2016;Mecklenburg-Vorpommern;-72;-106;358;-456;348;297;-28;0;487;3756;126;37;59;-235;-125;-178;-9656
2016;Niedersachsen;983;915;1747;-195;-285;-456;-410;-487;0;-1729;89;-90;-24;-906;-58;-724;-38180
2016;Nordrhein-Westfalen;463;-1051;4313;-1548;464;1846;-112;-3756;1729;0;686;-1072;-1606;-2441;768;-1894;-56379
2016;Rheinland-Pfalz;-480;271;711;-76;112;228;-715;-126;-89;-686;0;-931;43;-105;175;-217;-20910
2016;Saarland;602;220;288;16;36;105;396;-37;90;1072;931;0;-72;-34;77;-69;-9567
2016;Sachsen;-404;-912;1375;-460;145;323;-469;-59;24;1606;-43;72;0;-1492;84;-1990;-11054
2016;Sachsen-Anhalt;146;86;770;132;155;284;-21;235;906;2441;105;34;1492;0;228;-62;-11580
2016;Schleswig-Holstein;-318;-287;278;-60;209;-4582;-597;125;58;-768;-175;-77;-84;-228;0;-100;-25877
2016;Thüringen;262;539;777;145;165;225;372;178;724;1894;217;69;1990;62;100;0;-5469
2016;Ausland;80496;97807;46257;10995;7663;20851;47203;9656;38180;56379;20910;9567;11054;11580;25877;5469;0